                    begin      end        ...        [VarName]  :=         +          -          *          /          (          )          [Number]   if         then       else       {          }          or         and        =          <          while      do         print      read       
<Program>           1          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
<Code>              2          3          0          2          0          0          0          0          0          0          0          0          2          0          0          0          0          0          0          0          0          2          0          2          2          
<InstList>          4          0          0          4          0          0          0          0          0          0          0          0          4          0          0          0          0          0          0          0          0          4          0          4          4          
<InstList'>         0          6          5          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
<Instruction>       12         0          0          7          0          0          0          0          0          0          0          0          8          0          0          0          0          0          0          0          0          9          0          10         11         
<Assign>            0          0          0          13         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
<ExprArith>         0          0          0          14         0          0          14         0          0          14         0          14         0          0          0          0          0          0          0          0          0          0          0          0          0          
<ExprArith'>        0          17         17         0          0          15         16         0          0          0          0          0          0          17         17         0          17         17         17         17         17         0          17         0          0          
<ExprProd>          0          0          0          18         0          0          18         0          0          18         0          18         0          0          0          0          0          0          0          0          0          0          0          0          0          
<ExprProd'>         0          21         21         0          0          21         21         19         20         0          0          0          0          21         21         0          21         21         21         21         21         0          21         0          0          
<Term>              0          0          0          24         0          0          22         0          0          23         0          25         0          0          0          0          0          0          0          0          0          0          0          0          0          
<If>                0          0          0          0          0          0          0          0          0          0          0          0          26         0          0          0          0          0          0          0          0          0          0          0          0          
<If'>               27         28         28         27         0          0          0          0          0          0          0          0          27         0          28         0          0          0          0          0          0          27         0          27         27         
<Cond>              0          0          0          29         0          0          29         0          0          29         0          29         0          0          0          30         0          0          0          0          0          0          0          0          0          
<Cond'>             0          0          0          0          0          0          0          0          0          0          0          0          0          32         0          0          32         31         0          0          0          0          32         0          0          
<CondConj>          0          0          0          33         0          0          33         0          0          33         0          33         0          0          0          0          0          0          0          0          0          0          0          0          0          
<CondConj'>         0          0          0          0          0          0          0          0          0          0          0          0          0          35         0          0          35         35         34         0          0          0          35         0          0          
<SimpleCond>        0          0          0          36         0          0          36         0          0          36         0          36         0          0          0          0          0          0          0          0          0          0          0          0          0          
<Comp>              0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          37         38         0          0          0          0          
<While>             0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          39         0          0          0          
<Print>             0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          40         0          
<Read>              0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          41         
begin               M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
end                 0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
...                 0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
[VarName]           0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
:=                  0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
+                   0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
-                   0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
*                   0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
/                   0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
(                   0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
)                   0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
[Number]            0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          0          
if                  0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          0          
then                0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          0          
else                0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          0          
{                   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          0          
}                   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          0          
or                  0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          0          
and                 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          0          
=                   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          0          
<                   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          0          
while               0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          0          
do                  0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          0          
print               0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          0          
read                0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          M          
